"Service";"Sexe";"Niveau de satisfaction";"Durée hebdo";"Promotion";"Work_accident";"Salaire_Moyen_35h"
"Compta Finances";"H";52;35;0;0;5387.382036
"Commercial";"F";66;24;0;1;9575.565999999999
"Commercial";"F";1;24;0;0;8331.2775
"RH";"F";11;24;0;0;8065.785000000002
"Consultant";"H";33;24;1;0;8322.0865
"Marketing";"F";73;35;0;0;5097.3195000000005
"Consultant";"F";46;35;0;0;5937.476958
"Informatique";"F";32;35;0;1;4896.9375
"Marketing";"H";92;35;0;0;5317.964205
"Marketing";"F";51;35;0;1;6297.836999999999
"Consultant";"F";90;35;0;0;6052.288622000002
"RH";"H";46;35;0;0;5489.939
"Consultant";"H";2;35;0;0;5918.367
"Marketing";"F";29;35;0;0;5751.35171
"Compta Finances";"H";28;35;1;0;4686.348298000001
"Consultant";"H";39;35;0;0;5972.436213000001
"Consultant";"F";82;35;1;0;4803.829296000001
"Consultant";"H";50;35;0;0;4838.1515
"Compta Finances";"H";48;35;0;0;5584.9884999999995
"Compta Finances";"F";4;35;0;0;5843.838000000001
"Compta Finances";"F";14;35;0;0;5625.498622000002
"Informatique";"H";41;24;0;0;6803.16
"Commercial";"F";60;35;0;1;4443.317631000001
"Consultant";"H";34;35;0;0;5044.008626
"RH";"F";35;24;0;0;6484.842000000001
"Marketing";"F";74;35;0;0;5226.069376
"Marketing";"H";37;35;0;0;4585.308
"Compta Finances";"F";93;35;0;0;4494.6720000000005
"Consultant";"H";60;35;0;0;5601.35338
"Consultant";"H";13;35;0;0;5137.132044000001
"RH";"H";49;35;1;0;3921.493367
"Compta Finances";"F";47;24;1;0;6124.9825
"RH";"F";99;35;0;0;4832.919
"RH";"H";39;35;0;0;4944.9400000000005
"Commercial";"F";61;35;1;0;4142.835703000001
"RH";"F";29;35;0;0;4709.189292
"RH";"F";62;35;0;1;4779.729543
"Marketing";"H";25;35;0;0;4579.4232919999995
"Commercial";"H";95;35;1;0;4891.629211
"Marketing";"H";69;35;0;0;4861.371711000001
"Marketing";"F";96;35;0;0;3858.4
"Marketing";"F";38;35;0;0;4748.743956
"Marketing";"H";81;35;0;0;4657.07671
"Consultant";"F";1;35;0;0;4931.001786999999
"RH";"H";92;35;1;0;3893.9355000000005
"RH";"H";65;35;0;0;4149.311873
"Marketing";"H";99;35;0;1;3566.4265000000005
"Consultant";"F";25;35;0;0;4497.37171
"Compta Finances";"H";44;35;0;0;4364.693709
"Compta Finances";"H";56;35;0;0;4161.930459
"RH";"H";90;35;0;0;4268.992
"Commercial";"F";42;35;0;0;4239.08329
"Marketing";"F";25;35;0;0;4363.419622
"Consultant";"H";36;35;0;0;4363.2225450000005
"RH";"F";23;35;0;0;4087.325709
"Compta Finances";"F";45;35;0;0;4418.322954
"Commercial";"F";58;35;0;0;3280.55
"Consultant";"F";18;35;0;0;3485.1483700000003
"Commercial";"F";67;35;0;1;3165.2833
"RH";"F";48;24;0;0;6227.2665
"Consultant";"F";19;35;0;0;3499.6476289999996
"RH";"F";73;24;0;0;4731.362999999999
"Consultant";"F";24;35;0;0;3275.999964
"RH";"F";15;35;0;0;3584.399
"Marketing";"H";22;35;0;0;3628.1245
"Commercial";"F";97;35;1;1;3895.1487890000003
"Consultant";"H";89;35;0;0;4056.112713
"Commercial";"F";98;35;0;0;3937.3425000000007
"Marketing";"F";40;35;1;0;3931.2
"Commercial";"F";76;35;0;0;3659.7167090000003
"Informatique";"H";81;35;0;1;3275.545
"Consultant";"H";69;35;0;0;2900.625
"Consultant";"H";24;35;0;0;3259.8475
"Commercial";"H";86;35;0;0;3422.585793
"Consultant";"H";9;28;0;0;3798.522
"Consultant";"H";66;35;0;0;3054.7183700000005
"Compta Finances";"H";89;35;0;1;3683.3462890000005
"RH";"H";88;35;0;0;2933.9917020000003
"RH";"H";47;24;0;0;5065.818333333333
"Consultant";"F";3;35;0;0;2840.777368
"Consultant";"H";60;35;0;0;3210.48
"Compta Finances";"H";70;35;0;0;3437.434044
"Consultant";"H";68;35;0;0;2894.6645
"Consultant";"H";59;35;0;1;3121.512374
"Commercial";"H";79;35;0;1;3039.0359999999996
"RH";"F";98;24;1;0;4314.886333333333
"Consultant";"F";6;32;0;1;3303.3
"Marketing";"F";70;35;0;1;2936.266707
"Commercial";"H";62;35;0;1;2659.9299630000005
"Commercial";"F";52;35;0;0;2842.83996
"Consultant";"H";100;32;0;0;2887.7332925
"Commercial";"F";63;35;0;0;2841.156459
"Consultant";"F";81;35;0;0;2270.996034
"Consultant";"F";60;35;1;0;2516.271294
"Compta Finances";"F";84;35;0;0;2951.433287
"Compta Finances";"F";40;35;1;1;2224.9045
"Consultant";"F";59;35;0;0;2653.802624
"Commercial";"F";58;35;0;0;2774.135
"Consultant";"F";95;35;0;0;2567.11
"Consultant";"H";37;24;0;0;3356.565333333333
"Compta Finances";"F";12;35;0;0;2318.8165
"Consultant";"F";92;35;0;0;2413.062127
"Consultant";"H";42;35;0;0;2105.7400000000002
"Compta Finances";"F";44;35;0;0;2710.890045
"Marketing";"H";19;35;0;0;2089.360035
"Compta Finances";"H";31;35;0;0;2098.005
"Compta Finances";"F";18;35;0;0;2246.517
"Consultant";"H";45;35;0;0;2378.815791
"Marketing";"F";67;35;0;0;2087.661296
"Consultant";"H";15;28;0;0;2754.17571625
"Compta Finances";"H";15;35;0;0;1945.2767020000001
"Compta Finances";"H";17;35;1;0;1980.3420000000003
"Consultant";"H";81;35;0;0;1947.5820360000002
"Consultant";"F";47;35;0;0;2058.42
"Compta Finances";"H";44;35;1;0;2127.57996
"Consultant";"H";87;24;1;0;2742.74
"Consultant";"F";87;35;0;0;2367.4712130000003
"Consultant";"H";98;35;0;0;1985.6655
"Marketing";"H";32;35;0;0;2037.2169999999999
"Consultant";"H";69;35;0;0;1948.9470000000001
"Marketing";"F";40;35;1;0;1886.308706
"Commercial";"H";62;35;1;0;2068.27829
"Consultant";"H";30;24;0;0;1846.5720000000001
"Compta Finances";"F";68;24;1;0;1560.9381666666666
